policy_number,date_of_premium_payment,amount,start_date,end_date,line_of_business,reinsurance_premium,reinsurance_commission,commission
VICTORIA__MASIRIKA_196,2022-10-01,5062.1624,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
ABIGAIL_MAHACHI_197,2022-12-01,5302.3552,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
APRIL_HCP_PREMIUMS_198,2022-04-01,1274.7856,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
CLARIS__MAPHOSA_199,2022-11-01,5176.68,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
LUKE_GARIKAYI_200,2022-08-01,4256.1184,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
LEONARD__SAITI_217,2022-09-01,5440.5108,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
REST__CHIGIJI_218,2022-10-01,5669.3853,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
TATENDA__MURONDA_219,2022-10-01,5690.3373,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
YEMURAI_DHLIWAYO_220,2022-12-01,5928.6357,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
TATENDA__MAHACHI_221,2022-12-01,6086.052,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
YEMURAI_DHLIWAYO_222,2022-12-01,6100.6743,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ELTON_TAZVITYA__DHOKWANI_223,2022-09-01,5520.393,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
JULIAS__SIBIYA_224,2022-09-01,5597.0298,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
LUKE_GARIKAYI_225,2022-12-01,6118.8489,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MTHOKOZISI_M__NYATHI_239,2022-09-01,5820.625,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
PETER__KASAMBA_240,2022-09-01,5658.345,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
EDITH__GOMBE_241,2022-09-01,6141.789,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
AMBROSE_Y__KUDZIKA_242,2022-10-01,6232.271,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
LUIS__LIPOCHI_243,2022-10-01,6327.703,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MTHOKOZISI_M__NYATHI_244,2022-11-01,6345.367,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
LEONARD__SAITI_245,2022-11-01,6345.367,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
SYDNEY_MURUZA_246,2022-12-01,6722.049,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
SYDNEY_MURUZA_247,2022-12-01,6722.049,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ALEXANDER_CHIGWEDERE_248,2022-12-01,6843.339,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
SITHEMBILE___CHIPERE__249,2022-11-01,6354.799,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EMMANUEL_HUNGWE_250,2022-12-01,6567.892,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MTHOKOZISI_M_NYATHI_251,2022-12-01,6843.339,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
LUKE__GARIKAYI_252,2022-09-01,6183.696,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
LUKE__GARIKAYI_253,2022-09-01,6183.696,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
CHRISTOPHER__CHAPASUKA_254,2022-10-01,6280.003,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
AMBROSE_Y_KUDZIKA_255,2022-12-01,6559.619,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
AMBROSE_Y_KUDZIKA_256,2022-12-01,6843.339,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
EMMANUEL__HUNGWE_257,2022-09-01,5598.774,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
EMMANUEL__HUNGWE_258,2022-10-01,6268.524,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
EMMANUEL__HUNGWE_259,2022-11-01,10.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EMMANUEL__HUNGWE_260,2022-11-01,6354.799,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
SYDNEY__MURUZA_261,2022-11-01,6433.081,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
SYDNEY__MURUZA_262,2022-11-01,6433.081,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
LUKE_GARIKAYI_263,2022-08-01,4500.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
AMBROSE_Y__KUDZIKA_270,2022-11-01,7004.6207,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EDITH__GOMBE_271,2022-11-01,7020.5047,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
ALEXANDER_CHIGWEDERE_272,2022-12-01,7281.5897,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ALEXANDER__CHIGWEDERE_273,2022-09-01,6071.2201,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
ALEXANDER__CHIGWEDERE_274,2022-09-01,6840.6668,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
ALEXANDER__CHIGWEDERE_275,2022-11-01,7004.6207,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
AMBROSE_Y_KUDZIKA_276,2022-08-01,5808.6094,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
LUKE__GARIKAYI_277,2022-11-01,6983.7548,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
LUKE__GARIKAYI_278,2022-11-01,6983.7548,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
CHRISTOPHER__CHAPASUKA_279,2022-11-01,6983.7548,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
LUKE_GARIKAYI_280,2022-12-01,7478.5931,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
BATSIRAI_RUZVIDZO_306,2022-08-01,5460.1332,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
BATSIRAI_RUZVIDZO_307,2022-08-01,5400.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
WARREN__ZIKHALI_308,2022-10-01,7523.2932,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
TINOTENDA__GWENZI_309,2022-11-01,7619.4744,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
CHRISTOPHER_MUTOTOTWA_310,2022-08-01,5584.698,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
SYDNEY__MURUZA_311,2022-10-01,7593.2436,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
HAPPINESS_W__CHIKOORE_312,2022-11-01,7619.4744,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
JULY_HCP_PREMIUMS_313,2022-07-01,5400.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
LUKE_GARIKAYI_314,2022-08-01,6384.1776,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
SINDISO__NDHLOVU_336,2022-09-01,7838.2836,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
SINDISO_NDHLOVU_337,2022-08-01,6450.8374,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
HAPPINESS_W__CHIKOORE_338,2022-09-01,8706.4908,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
HAPPINESS_W__CHIKOORE_339,2022-09-01,8706.4908,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
CHIPO__GWENZI_354,2022-09-01,9059.853,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
REST__CHIGIJI_355,2022-10-01,9448.9755,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
CHIPO_MURUKO_356,2022-12-01,9881.0595,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
INNOCENT__GADAGA_357,2022-10-01,15.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
SITHEMBILE___CHIPERE__358,2022-10-01,9404.592,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
INNOCENT__GADAGA_359,2022-10-01,9482.334,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
LUKE_GARIKAYI_360,2022-08-01,6750.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
SINDISO__NDHLOVU_362,2022-09-01,9434.8717,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
SINDISO_NDHLOVU_363,2022-12-01,10607.17545,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
VERONICAH__MOYO_382,2022-09-01,9739.2224,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
VIVENCIA___SHAMU_383,2022-11-01,10152.5872,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
INNOCENT__NCUBE_384,2022-12-01,10845.6432,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
VIVENCIA___SHAMU_427,2022-09-01,9869.9705,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
DOUGLAS_MAZARURA_439,2022-08-01,8673.3774,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
INNOCENT___NCUBE_440,2022-09-01,18.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
DOUGLAS__MAZARURA_441,2022-09-01,10185.021,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
INNOCENT___NCUBE_442,2022-10-01,18.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MARTIN_MUNYEKI_443,2022-12-01,12147.0372,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
INNOCENT__NCUBE_444,2022-08-01,18.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
LOVEMORE_MOYO_445,2022-08-01,8190.1998,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
INNOCENT__NCUBE_446,2022-12-01,12099.6882,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
INNOCENT__NCUBE_447,2022-12-01,12099.6882,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MARCH_HCP_PREMIUMS_448,2022-03-01,2563.6266,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
LUKE_GARIKAYI_521,2022-12-01,12710.7017,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ANNIE_HARVAN_542,2022-08-01,9899.766,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
LUIS__LIPOCHI_543,2022-09-01,11984.506,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
NOMUSA_MANATSA_544,2022-12-01,13099.26,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ANNIE_HARVAN_545,2022-12-01,13597.442,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ROBERT__NHONGO_546,2022-09-01,11038.582,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
ROBERT__NHONGO_547,2022-09-01,12267.54,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
EMMANUEL_HUNGWE_548,2022-12-01,13524.56,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
LOVEMORE_MOYO_549,2022-12-01,13119.238,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FEB_HCP_PREMIUMS_550,2022-02-01,2480.378,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
LUKE_GARIKAYI_563,2022-12-01,14717.6546,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ALBAN_CHITATE_581,2022-08-01,23.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
ALBAN_CHITATE_582,2022-08-01,11663.1298,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
ALBAN__CHITATE_583,2022-09-01,13891.7746,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
ALBAN__CHITATE_584,2022-10-01,14487.0284,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
ALBAN__CHITATE_585,2022-11-01,15012.4036,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
ALBAN_CHITATE_586,2022-12-01,23.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MELODY_MADARANI_587,2022-12-01,15521.2142,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
CHRISTOPHER__CHAPASUKA_588,2022-09-01,13353.4895,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
CHIPO__RUHUKWA_596,2022-11-01,15513.8952,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
DOROTH__MUWODZI_597,2022-11-01,15210.4344,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
ELTON_TAZVITYA_DHOKWANI_598,2022-12-01,15887.1048,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
HAPPINESS_W_CHIKOORE_599,2022-12-01,15907.0656,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
DOUGLAS_MAZARURA_600,2022-12-01,15952.6176,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MELODY__MADARANI_621,2022-09-01,15217.535,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
MICHAEL__MANGWENDE_622,2022-11-01,15844.2025,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
MELODY__MADARANI_623,2022-11-01,15919.5925,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
DOROTH__MUWODZI_624,2022-11-01,15886.9975,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
MELODY_MADARANI_625,2022-08-01,13399.6475,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
MELODY_MADARANI_626,2022-12-01,16569.86,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MARTIN_MUNYEKI_642,2022-08-01,12923.1666,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
BERNADETTE__CHIMUTI_MUTSWAGIWA_643,2022-10-01,16961.5863,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
BERNADETTE__CHIMUTI_MUTSWAGIWA_644,2022-11-01,17143.8174,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
HAPPINESS_W__CHIKOORE_645,2022-11-01,17143.8174,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
MAY_HCP_PREMIUMS_646,2022-05-01,7853.9652,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
HAPPINESS_W__CHIKOORE_744,2022-09-01,16911.7256,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
