policy_number,premiums,premium_frequency,start_date,line_of_business,end_date,commission,reinsurance_premium,reinsurance_commission
LOVEMORE__MUGUNA_93,3109.8135,S,1/10/2022,Health,31/10/2022,0,0,0
PETER_CHAKANETSA__MASUKUSA_94,3154.6795,S,1/10/2022,Health,31/10/2022,0,0,0
HAZVIPERI___MASVIKENI__95,3116.1355,S,1/10/2022,Health,31/10/2022,0,0,0
ABIGAIL__MUZHOMBWE_96,3163.8515,S,1/10/2022,Health,31/10/2022,0,0,0
LOVEMORE__MUGUNA_97,3172.68,S,1/11/2022,Health,30/11/2022,0,0,0
EDITH_TATENDA__MUTAPE_DHOKWANI_98,3168.84,S,1/11/2022,Health,30/11/2022,0,0,0
MOSES__CHASWEKA_99,2799.387,S,1/9/2022,Health,30/9/2022,0,0,0
PATRICIA__WADI_100,3109.461,S,1/9/2022,Health,30/9/2022,0,0,0
SIBUSISO_MOYO_101,3361.0245,S,1/12/2022,Health,31/12/2022,0,0,0
ROSEMARY__GANDE_102,5,S,1/12/2022,Health,31/12/2022,0,0,0
ZVIYEDZO_CHIMWARA_120,6,S,1/8/2022,Health,31/8/2022,0,0,0
CHIPO_MURUKO_121,2792.349,S,1/8/2022,Health,31/8/2022,0,0,0
TATENDA__MAHACHI_122,2764.6446,S,1/8/2022,Health,31/8/2022,0,0,0
EMMANUEL_J.__MWALE_123,3359.2644,S,1/9/2022,Health,30/9/2022,0,0,0
TINOTENDA__GWENZI_124,3623.9412,S,1/9/2022,Health,30/9/2022,0,0,0
EMMANUEL_J.__MWALE_125,3731.7762,S,1/10/2022,Health,31/10/2022,0,0,0
ZVIYEDZO_CHIMWARA_126,6,S,1/12/2022,Health,31/12/2022,0,0,0
LOICE_CHIMBOZA_127,3940.7352,S,1/12/2022,Health,31/12/2022,0,0,0
THENJIWE_JAMARE_128,4033.2294,S,1/12/2022,Health,31/12/2022,0,0,0
LOICE_CHIMBOZA_129,4057.368,S,1/12/2022,Health,31/12/2022,0,0,0
DALENE_CARLA_FRANSCH_130,6,S,1/8/2022,Health,31/8/2022,0,0,0
DALENE_CARLA_FRANSCH_131,3215.92,S,1/8/2022,Health,31/8/2022,0,0,0
EMMANUEL_J._MWALE_132,2764.64,S,1/8/2022,Health,31/8/2022,0,0,0
ZVIYEDZO__CHIMWARA_133,6,S,1/9/2022,Health,30/9/2022,0,0,0
LILLIAN__HLANYA_134,3359.26,S,1/9/2022,Health,30/9/2022,0,0,0
CHIPO__MURUKO_135,3359.26,S,1/9/2022,Health,30/9/2022,0,0,0
ZVIYEDZO__CHIMWARA_136,6,S,1/10/2022,Health,31/10/2022,0,0,0
CHIPO__MURUKO_137,3761.11,S,1/10/2022,Health,31/10/2022,0,0,0
LILLIAN__HLANYA_138,3774,S,1/10/2022,Health,31/10/2022,0,0,0
LILLIAN__HLANYA_139,3774,S,1/10/2022,Health,31/10/2022,0,0,0
ZVIYEDZO__CHIMWARA_140,6,S,1/11/2022,Health,30/11/2022,0,0,0
PERCIVAL__SIZARA_141,3807.22,S,1/11/2022,Health,30/11/2022,0,0,0
CHIPO__MURUKO_142,3809.74,S,,Health,30/11/2022,0,0,0
EMMANUEL_J._MWALE_143,4033.23,S,1/12/2022,Health,31/12/2022,0,0,0
EMMANUEL_J._MWALE_144,4033.23,S,1/12/2022,Health,31/12/2022,0,0,0
MARTIN_MUNYEKI_145,4049.01,S,1/12/2022,Health,31/12/2022,0,0,0
THENJIWE__JAMARE_146,3395.01,S,,Health,30/9/2022,0,0,0
THENJIWE__JAMARE_147,3731.78,S,1/10/2022,Health,31/10/2022,0,0,0
THENJIWE__JAMARE_148,3807.22,S,1/11/2022,Health,30/11/2022,0,0,0
SIBUSISO_MOYO_149,4033.23,S,1/12/2022,Health,31/12/2022,0,0,0
ROSEMARY__GANDE_150,6,S,1/12/2022,Health,31/12/2022,0,0,0
ROSEMARY__GANDE_151,6,S,1/12/2022,Health,31/12/2022,0,0,0
LYDIA_SAVANHU_161,7,S,1/8/2022,Health,31/8/2022,0,0,0
BELINDA_MAHACHI_162,3257.74,S,1/8/2022,Health,31/8/2022,0,0,0
LYDIA_SAVANHU_163,7,S,1/12/2022,Health,31/12/2022,0,0,0
BELINDA_MAHACHI_164,4632,S,1/12/2022,Health,31/12/2022,0,0,0
LYDIA__SAVANHU_165,7,S,1/9/2022,Health,30/9/2022,0,0,0
BELINDA__MAHACHI_166,3919.1418,S,1/9/2022,Health,30/9/2022,0,0,0
LYDIA__SAVANHU_167,7,S,1/10/2022,Health,31/10/2022,0,0,0
BELINDA__MAHACHI_168,4399.9354,S,1/10/2022,Health,31/10/2022,0,0,0
LYDIA__SAVANHU_169,7,S,1/11/2022,Health,30/11/2022,0,0,0
BELINDA__MAHACHI_170,4444.6934,S,1/11/2022,Health,30/11/2022,0,0,0
ERICAH_MUZUVA_179,7.5,S,1/8/2022,Health,31/8/2022,0,0,0
ERICAH_MUZUVA_180,7.5,S,1/12/2022,Health,31/12/2022,0,0,0
ERICAH__MUZUVA_181,7.5,S,1/9/2022,Health,30/9/2022,0,0,0
ERICAH__MUZUVA_182,7.5,S,1/10/2022,Health,31/10/2022,0,0,0
ERICAH__MUZUVA_183,7.5,S,1/11/2022,Health,30/11/2022,0,0,0
SIPHIWE_MPOFU_189,4224.4432,S,1/8/2022,Health,31/8/2022,0,0,0
ABIGAIL__MAHACHI_190,4975.14,S,1/9/2022,Health,30/9/2022,0,0,0
SIMBARASHE__CHIKWANDA_191,4656.5,S,1/9/2022,Health,30/9/2022,0,0,0
ABIGAIL__MAHACHI_192,5058.08,S,1/10/2022,Health,31/10/2022,0,0,0
WARREN__ZIKHALI_193,5015.53,S,1/10/2022,Health,31/10/2022,0,0,0
ABIGAIL_MAHACHI_194,3766.45,S,1/8/2022,Health,31/8/2022,0,0,0
ABIGAIL_MAHACHI_195,4287.89,S,1/8/2022,Health,31/8/2022,0,0,0
VICTORIA__MASIRIKA_196,5062.1624,S,1/10/2022,Health,31/10/2022,0,0,0
ABIGAIL_MAHACHI_197,5302.3552,S,1/12/2022,Health,31/12/2022,0,0,0
APRIL_HCP_PREMIUMS_198,1274.7856,S,1/4/2022,Health,30/4/2022,0,0,0
CLARIS__MAPHOSA_199,5176.68,S,1/11/2022,Health,30/11/2022,0,0,0
LUKE_GARIKAYI_200,4256.1184,S,1/8/2022,Health,31/8/2022,0,0,0
LEONARD__SAITI_217,5440.51,S,1/9/2022,Health,30/9/2022,0,0,0
REST__CHIGIJI_218,5669.39,S,1/10/2022,Health,31/10/2022,0,0,0
TATENDA__MURONDA_219,5690.34,S,1/10/2022,Health,31/10/2022,0,0,0
YEMURAI_DHLIWAYO_220,5928.6357,S,1/12/2022,Health,31/12/2022,0,0,0
TATENDA__MAHACHI_221,6086.05,S,1/12/2022,Health,31/12/2022,0,0,0
YEMURAI_DHLIWAYO_222,6100.67,S,1/12/2022,Health,31/12/2022,0,0,0
ELTON_TAZVITYA__DHOKWANI_223,5520.39,S,1/9/2022,Health,30/9/2022,0,0,0
JULIAS__SIBIYA_224,5597.03,S,1/9/2022,Health,30/9/2022,0,0,0
LUKE_GARIKAYI_225,6118.85,S,1/12/2022,Health,31/12/2022,0,0,0
MTHOKOZISI_M__NYATHI_239,5820.625,S,1/9/2022,Health,30/9/2022,0,0,0
PETER__KASAMBA_240,5658.345,S,1/9/2022,Health,30/9/2022,0,0,0
EDITH__GOMBE_241,6141.789,S,1/9/2022,Health,30/9/2022,0,0,0
AMBROSE_Y__KUDZIKA_242,6232.271,S,1/10/2022,Health,31/10/2022,0,0,0
LUIS__LIPOCHI_243,6327.703,S,1/10/2022,Health,31/10/2022,0,0,0
MTHOKOZISI_M__NYATHI_244,6345.367,S,1/11/2022,Health,30/11/2022,0,0,0
LEONARD__SAITI_245,6345.367,S,1/11/2022,Health,30/11/2022,0,0,0
SYDNEY_MURUZA_246,6722.049,S,1/12/2022,Health,31/12/2022,0,0,0
SYDNEY_MURUZA_247,6722.049,S,1/12/2022,Health,31/12/2022,0,0,0
ALEXANDER_CHIGWEDERE_248,6843.339,S,1/12/2022,Health,31/12/2022,0,0,0
SITHEMBILE___CHIPERE__249,6354.8,S,1/11/2022,Health,30/11/2022,0,0,0
EMMANUEL_HUNGWE_250,6567.89,S,1/12/2022,Health,31/12/2022,0,0,0
MTHOKOZISI_M_NYATHI_251,6843.34,S,1/12/2022,Health,31/12/2022,0,0,0
LUKE__GARIKAYI_252,6183.7,S,1/9/2022,Health,30/9/2022,0,0,0
LUKE__GARIKAYI_253,6183.7,S,1/9/2022,Health,30/9/2022,0,0,0
CHRISTOPHER__CHAPASUKA_254,6280,S,1/10/2022,Health,31/10/2022,0,0,0
AMBROSE_Y_KUDZIKA_255,6559.619,S,1/12/2022,Health,31/12/2022,0,0,0
AMBROSE_Y_KUDZIKA_256,6843.34,S,1/12/2022,Health,31/12/2022,0,0,0
EMMANUEL__HUNGWE_257,5598.774,S,1/9/2022,Health,30/9/2022,0,0,0
EMMANUEL__HUNGWE_258,6268.524,S,1/10/2022,Health,31/10/2022,0,0,0
EMMANUEL__HUNGWE_259,10,S,1/11/2022,Health,30/11/2022,0,0,0
EMMANUEL__HUNGWE_260,6354.799,S,1/11/2022,Health,30/11/2022,0,0,0
SYDNEY__MURUZA_261,6433.081,S,1/11/2022,Health,30/11/2022,0,0,0
SYDNEY__MURUZA_262,6433.081,S,1/11/2022,Health,30/11/2022,0,0,0
LUKE_GARIKAYI_263,4500,S,1/8/2022,Health,31/8/2022,0,0,0
AMBROSE_Y__KUDZIKA_270,7004.6207,S,1/11/2022,Health,30/11/2022,0,0,0
EDITH__GOMBE_271,7020.5047,S,1/11/2022,Health,30/11/2022,0,0,0
ALEXANDER_CHIGWEDERE_272,7281.5897,S,1/12/2022,Health,31/12/2022,0,0,0
ALEXANDER__CHIGWEDERE_273,6071.2201,S,1/9/2022,Health,30/9/2022,0,0,0
ALEXANDER__CHIGWEDERE_274,6840.6668,S,1/9/2022,Health,30/9/2022,0,0,0
ALEXANDER__CHIGWEDERE_275,7004.6207,S,1/11/2022,Health,30/11/2022,0,0,0
AMBROSE_Y_KUDZIKA_276,5808.6094,S,1/8/2022,Health,31/8/2022,0,0,0
LUKE__GARIKAYI_277,6983.7548,S,1/11/2022,Health,30/11/2022,0,0,0
LUKE__GARIKAYI_278,6983.7548,S,1/11/2022,Health,30/11/2022,0,0,0
CHRISTOPHER__CHAPASUKA_279,6983.7548,S,1/11/2022,Health,30/11/2022,0,0,0
LUKE_GARIKAYI_280,7478.5931,S,1/12/2022,Health,31/12/2022,0,0,0
BATSIRAI_RUZVIDZO_306,5460.1332,S,1/8/2022,Health,31/8/2022,0,0,0
BATSIRAI_RUZVIDZO_307,5400,S,1/8/2022,Health,31/8/2022,0,0,0
WARREN__ZIKHALI_308,7523.2932,S,1/10/2022,Health,31/10/2022,0,0,0
TINOTENDA__GWENZI_309,7619.4744,S,1/11/2022,Health,30/11/2022,0,0,0
CHRISTOPHER_MUTOTOTWA_310,5584.698,S,1/8/2022,Health,31/8/2022,0,0,0
SYDNEY__MURUZA_311,7593.2436,S,1/10/2022,Health,31/10/2022,0,0,0
HAPPINESS_W__CHIKOORE_312,7619.4744,S,1/11/2022,Health,30/11/2022,0,0,0
JULY_HCP_PREMIUMS_313,5400,S,1/7/2022,Health,31/7/2022,0,0,0
LUKE_GARIKAYI_314,6384.1776,S,1/8/2022,Health,31/8/2022,0,0,0
SINDISO__NDHLOVU_336,7838.2836,S,1/9/2022,Health,30/9/2022,0,0,0
SINDISO_NDHLOVU_337,6450.8374,S,1/8/2022,Health,31/8/2022,0,0,0
HAPPINESS_W__CHIKOORE_338,8706.4908,S,1/9/2022,Health,30/9/2022,0,0,0
HAPPINESS_W__CHIKOORE_339,8706.4908,S,1/9/2022,Health,30/9/2022,0,0,0
CHIPO__GWENZI_354,9059.853,S,1/9/2022,Health,30/9/2022,0,0,0
REST__CHIGIJI_355,9448.9755,S,1/10/2022,Health,31/10/2022,0,0,0
CHIPO_MURUKO_356,9881.0595,S,1/12/2022,Health,31/12/2022,0,0,0
INNOCENT__GADAGA_357,15,S,1/10/2022,Health,31/10/2022,0,0,0
SITHEMBILE___CHIPERE__358,9404.592,S,1/10/2022,Health,31/10/2022,0,0,0
INNOCENT__GADAGA_359,9482.334,S,1/10/2022,Health,31/10/2022,0,0,0
LUKE_GARIKAYI_360,6750,S,1/8/2022,Health,31/8/2022,0,0,0
SINDISO__NDHLOVU_362,9434.8717,S,1/9/2022,Health,30/9/2022,0,0,0
SINDISO_NDHLOVU_363,10607.17545,S,1/12/2022,Health,31/12/2022,0,0,0
VERONICAH__MOYO_382,9739.2224,S,1/9/2022,Health,30/9/2022,0,0,0
VIVENCIA___SHAMU_383,10152.5872,S,1/11/2022,Health,30/11/2022,0,0,0
INNOCENT__NCUBE_384,10845.6432,S,1/12/2022,Health,31/12/2022,0,0,0
VIVENCIA___SHAMU_427,9869.9705,S,1/9/2022,Health,30/9/2022,0,0,0
DOUGLAS_MAZARURA_439,8673.3774,S,1/8/2022,Health,31/8/2022,0,0,0
INNOCENT___NCUBE_440,18,S,1/9/2022,Health,30/9/2022,0,0,0
DOUGLAS__MAZARURA_441,10185.02,S,1/9/2022,Health,30/9/2022,0,0,0
INNOCENT___NCUBE_442,18,S,1/10/2022,Health,31/10/2022,0,0,0
MARTIN_MUNYEKI_443,12147.04,S,1/12/2022,Health,31/12/2022,0,0,0
INNOCENT__NCUBE_444,18,S,1/8/2022,Health,31/8/2022,0,0,0
LOVEMORE_MOYO_445,8190.1998,S,1/8/2022,Health,31/8/2022,0,0,0
INNOCENT__NCUBE_446,12099.6882,S,1/12/2022,Health,31/12/2022,0,0,0
INNOCENT__NCUBE_447,12099.6882,S,1/12/2022,Health,31/12/2022,0,0,0
MARCH_HCP_PREMIUMS_448,2563.6266,S,1/3/2022,Health,31/3/2022,0,0,0
LUKE_GARIKAYI_521,12710.7017,S,1/12/2022,Health,31/12/2022,0,0,0
ANNIE_HARVAN_542,9899.77,S,1/8/2022,Health,31/8/2022,0,0,0
LUIS__LIPOCHI_543,11984.51,S,1/9/2022,Health,30/9/2022,0,0,0
NOMUSA_MANATSA_544,13099.26,S,1/12/2022,Health,31/12/2022,0,0,0
ANNIE_HARVAN_545,13597.44,S,1/12/2022,Health,31/12/2022,0,0,0
ROBERT__NHONGO_546,11038.58,S,1/9/2022,Health,30/9/2022,0,0,0
ROBERT__NHONGO_547,12267.54,S,1/9/2022,Health,30/9/2022,0,0,0
EMMANUEL_HUNGWE_548,13524.56,S,1/12/2022,Health,31/12/2022,0,0,0
LOVEMORE_MOYO_549,13119.24,S,1/12/2022,Health,31/12/2022,0,0,0
FEB_HCP_PREMIUMS_550,2480.38,S,1/2/2022,Health,28/2/2022,0,0,0
LUKE_GARIKAYI_563,14717.65,S,1/12/2022,Health,31/12/2022,0,0,0
ALBAN_CHITATE_581,23,S,1/8/2022,Health,31/8/2022,0,0,0
ALBAN_CHITATE_582,11663.13,S,1/8/2022,Health,31/8/2022,0,0,0
ALBAN__CHITATE_583,13891.77,S,1/9/2022,Health,30/9/2022,0,0,0
ALBAN__CHITATE_584,14487.03,S,1/10/2022,Health,31/10/2022,0,0,0
ALBAN__CHITATE_585,15012.4,S,1/11/2022,Health,30/11/2022,0,0,0
ALBAN_CHITATE_586,23,S,1/12/2022,Health,31/12/2022,0,0,0
MELODY_MADARANI_587,15521.21,S,1/12/2022,Health,31/12/2022,0,0,0
CHRISTOPHER__CHAPASUKA_588,13353.49,S,1/9/2022,Health,30/9/2022,0,0,0
CHIPO__RUHUKWA_596,15513.9,S,1/11/2022,Health,30/11/2022,0,0,0
DOROTH__MUWODZI_597,15210.43,S,1/11/2022,Health,30/11/2022,0,0,0
ELTON_TAZVITYA_DHOKWANI_598,15887.1,S,1/12/2022,Health,31/12/2022,0,0,0
HAPPINESS_W_CHIKOORE_599,15907.07,S,1/12/2022,Health,31/12/2022,0,0,0
DOUGLAS_MAZARURA_600,15952.62,S,1/12/2022,Health,31/12/2022,0,0,0
MELODY__MADARANI_621,15217.54,S,1/9/2022,Health,30/9/2022,0,0,0
MICHAEL__MANGWENDE_622,15844.2,S,1/11/2022,Health,30/11/2022,0,0,0
MELODY__MADARANI_623,15919.59,S,1/11/2022,Health,30/11/2022,0,0,0
DOROTH__MUWODZI_624,15887,S,1/11/2022,Health,30/11/2022,0,0,0
MELODY_MADARANI_625,13399.65,S,1/8/2022,Health,31/8/2022,0,0,0
MELODY_MADARANI_626,16569.86,S,1/12/2022,Health,31/12/2022,0,0,0
MARTIN_MUNYEKI_642,12923.17,S,1/8/2022,Health,31/8/2022,0,0,0
BERNADETTE__CHIMUTI_MUTSWAGIWA_643,16961.59,S,1/10/2022,Health,31/10/2022,0,0,0
BERNADETTE__CHIMUTI_MUTSWAGIWA_644,17143.82,S,1/11/2022,Health,30/11/2022,0,0,0
HAPPINESS_W__CHIKOORE_645,17143.82,S,1/11/2022,Health,30/11/2022,0,0,0
MAY_HCP_PREMIUMS_646,7853.97,S,1/5/2022,Health,31/5/2022,0,0,0
HAPPINESS_W__CHIKOORE_744,16911.73,S,1/9/2022,Health,30/9/2022,0,0,0
HRE-POL-50022-MCP_837,3327.37,S,17/1/2022,Motor,16/5/2022,0,0,0
HRE/MVE/P/000008818_838,18967.79,S,5/10/2022,Motor,4/2/2023,0,0,0
LOVEMORE__MOYO_839,18656.36,S,1/9/2022,Health,30/9/2022,0,0,0
LOVEMORE__MOYO_840,18967.37,S,1/10/2022,Health,31/10/2022,0,0,0
DOUGLAS__MAZARURA_841,19092.29,S,1/11/2022,Health,30/11/2022,0,0,0
ELTON_TAZVITYA__DHOKWANI_842,16796.32,S,1/9/2022,Health,30/9/2022,0,0,0
ELTON_TAZVITYA__DHOKWANI_843,18401.31,S,1/9/2022,Health,30/9/2022,0,0,0
ROBERT__NHONGO_844,19173.6,S,1/11/2022,Health,30/11/2022,0,0,0
CHIPO__GWENZI_853,19683.64,S,1/11/2022,Health,30/11/2022,0,0,0
SINDISO_NDHLOVU_854,20838.35,S,1/12/2022,Health,31/12/2022,0,0,0
HRE-POL-20693-MCP_875,12986.86,S,7/6/2022,Motor,6/6/2023,1558.423246,0,0
JULIAS__SIBIYA_886,18905.86,S,1/9/2022,Health,30/9/2022,0,0,0
MTR/MTP/P/000009080_887,33.27,S,1/12/2022,Miscellaneous,28/2/2023,6.65,0,0
PETER__KASAMBA_907,21650.65,S,1/11/2022,Health,30/11/2022,0,0,0
ELTON_TAZVITYA_DHOKWANI_917,23168.69,S,1/12/2022,Health,31/12/2022,0,0,0
CHIPO__RUHUKWA_930,22436.18,S,1/10/2022,Health,31/10/2022,0,0,0
ALICE_V__WABATAGORE_953,24746.93,S,1/11/2022,Health,30/11/2022,0,0,0
LOVEMORE_MOYO_1013,27373.36,S,1/12/2022,Health,31/12/2022,0,0,0
MAY_HCP_PREMIUMS_1080,12799.05,S,1/5/2022,Health,31/5/2022,0,0,0
INNOCENT__GADAGA_1163,27638.05,S,1/9/2022,Health,30/9/2022,0,0,0
HRE-POL-20703-MCP_1198,18940.52,S,10/6/2022,Motor,9/10/2022,2272.700568,0,0
HRE/MVE/P/000008961_1312,32746.42,S,1/11/2022,Motor,28/2/2023,0,0,0
ALBERT_CHIGOVA_1313,23038.71,S,1/8/2022,Health,31/8/2022,0,0,0
ALBERT_CHIGOVA_1314,25031.36,S,1/8/2022,Health,31/8/2022,0,0,0
_HRE-POL-20056-MFL__1317,6021.33,S,9/2/2022,Motor,28/2/2022,723.0378516,0,0
HRE-POL-20569-DCO_1321,16855,S,6/6/2022,Property,5/6/2023,3371.000506,0,0
FEB_HCP_PREMIUMS_1329,6324.96,S,1/2/2022,Health,28/2/2022,0,0,0
HRE/MVE/P/000007945_1366,34383.74,S,1/11/2022,Motor,28/2/2023,0,0,0
BYO/MVE/P/000005371_1413,30849.31,S,11/6/2022,Motor,10/10/2022,0,0,0
HRE-POL-20699-MCP_1468,21643.41,S,1/6/2022,Motor,30/9/2022,2706.948712,0,0
HRE/MVE/P/000007969_1469,23998.5,S,1/8/2022,Motor,30/11/2022,3001.5,0,0
POL-HEALTH-076_1501,34564.20674,S,1/10/2022,Health,31/10/2022,0,0,0
POL-HEALTH-076_1502,35214.01,S,1/11/2022,Health,30/11/2022,0,0,0
POL-HEALTH-076_1503,36843.88,S,1/12/2022,Health,31/12/2022,0,0,0
_HRE-POL-20305-MCP__1547,7749.1,S,8/3/2022,Motor,7/7/2022,0,0,0
HRE-POL-20700-MCP_1548,23672.61,S,31/5/2022,Motor,29/9/2022,2958.569132,0,0
HRE/MVE/P/000008854_1549,39209.71,S,21/12/2022,Motor,20/4/2023,0,0,0
_HRE-POL-20324-MCP__1551,7750.43,S,1/3/2022,Motor,30/6/2022,929.9448742,0,0
_HRE-POL-20325-MCP__1552,7750.43,S,1/3/2022,Motor,30/6/2022,929.9448742,0,0
LOVEMORE_MOYO_1560,32262.7,S,1/8/2022,Health,31/8/2022,0,0,0
_HRE-POL-20012-MCP__1753,6654.738194,S,31/1/2022,Motor,31/5/2022,831.8422742,0,0
HRE-POL-20587-MCP_1754,20065.48,S,27/6/2022,Motor,26/10/2022,0,0,0
HRE-POL-20698-MCP_1755,24350.36,S,9/6/2022,Motor,8/10/2022,3043.795403,0,0
HRE-POL-50019-MCP_1756,6654.74,S,21/1/2022,Motor,20/5/2022,831.8422742,0,0
HRE/MVE/P/000008205_1757,37313.53,S,30/9/2022,Motor,29/1/2023,4664.1915,0,0
HAPPINESS_W_CHIKOORE_1765,40430.46,S,1/12/2022,Health,31/12/2022,0,0,0
HRE-POL-30142-MCP_1823,8524.94,S,1/3/2022,Motor,31/1/2023,0,0,0
_HRE-POL-20049-MCP__1968,7980.95,S,24/2/2022,Motor,24/6/2022,997.1697523,0,0
_HRE-POL-20294-MCP__1969,8857.06,S,8/2/2022,Motor,8/6/2022,1062.794142,0,0
_HRE-POL-20342-MCP__1970,8857.06,S,1/3/2022,Motor,30/6/2022,1106.6344,0,0
_HRE-POL-20421-MCP__1971,10018.54,S,1/4/2022,Motor,31/7/2022,1202.16512,0,0
HRE-POL-20682-MCP_2028,27191.24,S,31/5/2022,Motor,30/9/2022,3400.934064,0,0
HRE-POL-20687-MCP_2029,27191.24,S,7/6/2022,Motor,6/10/2022,3400.934064,0,0
BYO/MVE/P/000008343_2030,33542.02,S,27/7/2022,Motor,30/11/2022,0,0,0
HRE-POL-30141-MCP_2074,8967.33,S,1/3/2022,Motor,30/6/2022,0,0,0
HRE-POL-40072-MCP_2075,7486.58,S,5/1/2022,Motor,4/5/2022,0,0,0
HRE-POL-50010-MCP_2076,7486.58,S,5/1/2022,Motor,4/5/2022,0,0,0
